rowid,kepid,koi_disposition,koi_pdisposition,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
7384,11198723,FALSE POSITIVE,FALSE POSITIVE,1,0,-0.5740152712002046,-0.5315774386948725,1.2029563246771147,-0.19787814652096292,1.8134629653815109,2.1378447759736408,-0.21593696270528803,-0.5416520450447385,1.9046996684153241,0.3846825399543926,0.6200933382960693,-0.5165735766864384,0.7497224943813465,1.4075745367655925,0.8779911220861206,0
7385,11199725,FALSE POSITIVE,FALSE POSITIVE,0,1,-0.75757331383562,-0.7101647500302843,-1.3813579850365323,-1.1478571847188421,-0.719768382939058,0.34832056867541483,2.500358782927987,1.9868846047862816,-0.7670835549020267,-0.6596969545681857,-2.257723822769009,2.0779550772557336,0.8286499909090466,1.4144841626064153,-1.1474652100820202,0
7386,11200773,FALSE POSITIVE,FALSE POSITIVE,1,0,-0.7115337015122388,-0.7063297158620925,1.4229494043627477,-0.6433400947523145,1.8134629653815109,1.1407745411575927,0.27683505351002163,-0.10149289868419877,1.9046996684153241,0.4576522862965815,0.7984474037978435,-0.7692928047538591,0.9134704932125172,1.4129867204737294,-0.4315139546996886,0
7387,11232745,FALSE POSITIVE,FALSE POSITIVE,1,0,-0.6379639626319169,-0.6728596541858926,1.538989710130994,-0.7606380240210926,1.8134629653815109,1.471089963721866,-0.24966838048193124,-0.5595001863820332,1.9046996684153241,-0.45294933993198383,0.8430359201732888,-0.7670759694199344,-1.4063672940694527,1.4334291670428052,1.2673034422116318,0
7389,5476671,FALSE POSITIVE,FALSE POSITIVE,0,1,-0.7641726044781798,-0.7175560861433274,1.3963568342908579,-0.7517893806624644,-0.6728452049563072,0.19578959372983312,1.2022491672953204,1.9868846047862816,-0.4226681997519596,0.3953239612959618,0.5940833704103952,-0.571994460034557,1.3935776361584153,-0.8619284787774403,0.28296263280337924,0
7391,4919550,FALSE POSITIVE,FALSE POSITIVE,0,1,-0.7127010555432722,-0.6568606901458405,-0.5727021042140675,-0.9282206783673109,-0.73990584535876,-0.6885870192824636,0.023116128494400888,-0.37718574706109953,-0.7616851951034364,-0.761550558837491,0.7798688553080758,-0.8646167241126231,-0.3531885236432928,-1.0310588723835077,0.7143029874878948,0
7393,8094120,FALSE POSITIVE,FALSE POSITIVE,0,0,-0.7678946791382008,-0.7029106300979696,0.2746338785311459,-1.1810433582127788,-0.7588870898404889,-0.6648487549697406,2.500358782927987,1.9868846047862816,-0.6850284859634528,1.2116729984991998,-0.981377541521944,0.9842239443806127,-0.33562964269979445,0.06296957157124887,-1.004422425793481,0
7395,3858757,FALSE POSITIVE,FALSE POSITIVE,0,0,0.030111909650839166,0.01539773836719852,0.05415729757147848,0.30565509224588056,-0.5262945813181882,-0.6193925041581433,-0.7893710649082227,-0.705076546232258,-0.743330771788229,-0.19147441553914038,0.761290306818308,-0.6229816727148262,0.3196806086593093,-1.334556220993967,1.1323713312590389,0
7396,3858884,FALSE POSITIVE,FALSE POSITIVE,0,0,0.030064112433016755,0.01570293371110776,-0.20886739550321262,2.197582896923115,1.8134629653815109,2.1378447759736408,-0.27606688135060853,-0.5721098589237452,1.9046996684153241,1.295284166182958,-1.2860657367541408,1.3034482324657761,0.32713538742502374,-1.3293376768343412,-2.719645502861607,0
7397,3938073,FALSE POSITIVE,FALSE POSITIVE,1,0,0.1903914044536899,0.14166045409218672,0.9974682832125118,0.7976438751925756,1.8134629653815109,2.1378447759736408,-0.45352347052338376,-0.6396300852382905,1.9046996684153241,0.44701086495501224,-1.3232228337336762,1.330050256472873,-1.2622942626620688,-1.306302071662949,-1.284609322853507,0
7399,5025217,FALSE POSITIVE,FALSE POSITIVE,0,0,-0.7337231581651242,-0.6930361237465894,-1.2870752365998321,0.09925695066074298,-0.7507935642746755,-0.42746611184251077,2.500358782927987,1.9868846047862816,-0.6839488140037346,0.8650667033738026,-2.257723822769009,2.0779550772557336,0.6943480520540527,-1.0131229050205726,-1.8095910878712411,0
7400,5025234,FALSE POSITIVE,FALSE POSITIVE,0,0,-0.7341016911173162,-0.7102545412637568,0.8062435293319231,2.197582896923115,-0.7408693603070712,-0.6597980604351187,1.0174596612145792,1.6343076442693354,-0.7044625812383782,1.333289242402848,0.13333536786414335,-0.006701449883747709,0.6946958152704432,-1.00577432582731,-0.6777834905366592,0
7401,5031804,FALSE POSITIVE,FALSE POSITIVE,0,0,-0.7468104447163315,-0.7007363543494283,0.9389646290543547,2.197582896923115,-0.6414346176413652,-0.5087822938499235,2.071933112580078,1.9868846047862816,-0.5630255545153098,1.7635067052120033,-1.2117515427950698,1.3566522804799694,0.9885768096717329,-1.0019429298251075,-1.056773135507328,0
7402,5031882,FALSE POSITIVE,FALSE POSITIVE,0,0,-0.758311827298851,-0.7178520178142069,0.9563706749195916,0.8610646685813966,-0.7657280459734976,-0.6254533375996897,2.500358782927987,1.9868846047862816,-0.7217373325938674,0.4728543167845375,-2.257723822769009,2.0779550772557336,0.9924738653510643,-1.0004763255545226,-0.5030353468439596,0
7403,5036516,FALSE POSITIVE,FALSE POSITIVE,1,0,-0.7566873611635694,-0.6908239080402426,1.3165791240751887,-0.7027472566415061,1.8134629653815109,2.1378447759736408,1.2843778366645386,1.9868846047862816,1.9046996684153241,-0.4316664972488454,-0.7435721208529117,0.4588339702404488,1.2081797963655583,-1.0168840129226693,0.06323711879314768,0
