koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,label
0,0,7.8774163,176.3759,0.041,2.0805,1306.1,2.16,553.0,22.18,38.7,4196.5,4.661,0.615,15.095,1
0,0,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332.0,2.88,21.7,4196.5,4.661,0.615,15.095,1
0,0,3.728732147,171.793255,0.558,2.683,5226.5,6.02,1023.0,258.34,255.76250000000002,5497.0,4.577,0.809,15.523,1
0,0,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822.0,107.6,38.9,4196.5,4.698,0.564,15.135,1
1,0,10.405998015,177.197466,0.324,6.5036,5385.612499999999,11.23,833.0,113.94,255.76250000000002,5746.0,4.393,0.924,15.562,0
0,0,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070.0,311.16,82.4,5005.0,4.595,0.765,15.334,1
0,0,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396.0,5.82,71.0,4196.5,4.79,0.473,15.937,1
0,0,6.575315881,173.634044,0.39,4.3084,2793.3,5.31,1015.0,251.38,221.1,5992.0,4.415,0.989,15.312,1
0,0,7.275040844,169.994217,0.547,7.5377,3001.0,4.86,833.0,113.64,255.76250000000002,5485.0,4.556,0.867,15.08,1
0,0,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393.0,5.66,37.1,4196.5,4.702,0.56,15.385,1
0,0,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488.0,13.43,30.3,4196.5,4.702,0.56,15.385,1
0,0,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677.0,49.68,35.8,5557.0,4.603,0.75,15.505,1
0,0,43.84439721,151.93538,0.852,6.802,615.2,2.87,531.0,18.77,83.7,5854.0,4.406,1.012,12.882,1
1,1,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032.0,268.67,39.0,5295.0,4.551,0.811,15.629,0
0,0,2.711504086,170.03417,0.023,3.0099,837.5,3.12,1420.0,960.79,64.5,6214.0,4.442,1.076,15.541,1
0,0,7.21203748,172.81782,0.012,4.0491,950.4,3.32,1025.0,260.58,51.5,6214.0,4.442,1.076,15.541,1
0,0,14.1798187,171.50237,0.1601,2.505,459.9,1.88,711.0,60.35,11.2,5799.0,4.539,0.878,15.727,0
