rowid,kepid,koi_disposition,koi_pdisposition,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
8044,8183389,FALSE POSITIVE,FALSE POSITIVE,1,0,32.440339204,142.2555263,0.645,4.50984,5385.612499999999,44.56,448.0,9.52,255.76250000000002,5081.0,4.578,0.696,297.3703,44.09877,15.854,0
8045,8193315,FALSE POSITIVE,FALSE POSITIVE,1,0,2.62387291,134.0049825,0.49,4.61248,5385.612499999999,56.65125,1790.0,2430.91,255.76250000000002,6728.0,4.206,1.46,299.82968,44.040359,13.7,0
8046,8196180,FALSE POSITIVE,FALSE POSITIVE,0,0,3.671661096,132.0909174,0.923,4.29947,5385.612499999999,56.65125,1967.0,2761.2975000000006,255.76250000000002,7256.5,4.02,1.94,300.63577,44.053398,12.814,0
8047,8977176,FALSE POSITIVE,FALSE POSITIVE,0,0,0.50948306,132.0386,0.3535,3.14,74.6,1.22,2797.125,2761.2975000000006,8.0,6344.0,4.091,1.39,298.87738,45.203979,13.545,0
8048,9001468,FALSE POSITIVE,FALSE POSITIVE,1,0,17.329965871,142.727156,0.705,8.43812,5385.612499999999,42.58,548.0,21.34,255.76250000000002,5079.0,4.588,0.683,282.76163,45.398521,15.2,0
8049,9005854,FALSE POSITIVE,FALSE POSITIVE,1,0,1.890227354,131.678589,0.957,3.855,5385.612499999999,42.05,1236.0,551.66,252.0,5356.0,4.589,0.78,285.03131,45.380451,15.569,0
8050,9007953,FALSE POSITIVE,FALSE POSITIVE,0,1,1.38718209,132.8579,0.28,2.595,45.5,0.68,1707.0,2011.41,7.2,6122.0,4.471,0.996,286.0213,45.343681,14.718,0
8052,9029486,FALSE POSITIVE,FALSE POSITIVE,1,0,3.138580493,132.330622,0.619,4.16343,5385.612499999999,56.65125,1281.0,635.61,255.76250000000002,5593.0,4.311,1.083,294.47293,45.389721,13.63,0
8053,9906802,FALSE POSITIVE,FALSE POSITIVE,0,0,9.26147679,135.1085808,0.576,1.77,507.45000000000005,2.68,928.0,176.51,30.75,5779.5,4.438,1.0,297.61273,46.738949,14.874,0
8054,9906841,FALSE POSITIVE,FALSE POSITIVE,0,0,87.105456694375,228.323880625,1.901,12.28915,1364.2,56.65125,639.0,39.36,15.9,5026.0,3.7465000000000015,2.0783750000000003,297.62296,46.75386,12.282,0
8056,9913798,FALSE POSITIVE,FALSE POSITIVE,1,0,2.14344093,133.497247,0.686,3.9741,5385.612499999999,28.69,1033.0,269.48,255.76250000000002,4817.0,4.624,0.7,299.68179,46.735352,14.945,0
8058,9934208,FALSE POSITIVE,FALSE POSITIVE,1,0,9.058487716,137.3378842,0.213,4.14334,5385.612499999999,20.51,547.0,21.15,255.76250000000002,4340.0,4.671,0.573,282.54208,46.856628,15.507,0
8059,9936698,FALSE POSITIVE,FALSE POSITIVE,1,0,2.856085147,133.39298,0.841,4.5776,5385.612499999999,56.65125,1739.0,2164.0,255.76250000000002,6604.0,4.178,1.526,284.06732,46.809582,14.045,0
8060,10909274,FALSE POSITIVE,FALSE POSITIVE,1,0,39.238141571,148.651652,0.459,6.07183,5385.612499999999,56.65125,656.0,43.69,255.76250000000002,6599.0,4.35,1.234,285.97623,48.320782,12.153,0
8061,10920813,FALSE POSITIVE,FALSE POSITIVE,0,0,53.7406575,209.294733,0.386,12.28915,5385.612499999999,25.44,398.0,5.93,255.76250000000002,5288.0,4.577,0.737,292.21005,48.315643,13.756,0
8062,10923260,FALSE POSITIVE,FALSE POSITIVE,1,0,7.436016459,136.518226,0.433,4.16284,5385.612499999999,31.39,968.0,207.61,255.76250000000002,6214.0,4.501,0.933,293.34525,48.382301,14.546,0
8064,10936427,FALSE POSITIVE,FALSE POSITIVE,1,0,14.361021578,138.842986,0.003,12.28915,5385.612499999999,45.9,594.0,29.44,255.76250000000002,5229.0,4.607,0.668,298.34381,48.335892,14.419,0
8065,12251779,FALSE POSITIVE,FALSE POSITIVE,1,0,14.844240386,134.2337694,0.275,6.83577,5385.612499999999,28.97,810.0,101.98,255.76250000000002,6161.0,4.367,0.988,287.57361,50.99873,14.415,0
8066,12268220,FALSE POSITIVE,FALSE POSITIVE,1,0,4.42158021,134.395447,1.146,10.4532,5385.612499999999,56.65125,2565.0,2761.2975000000006,255.76250000000002,7256.5,3.7465000000000015,2.0783750000000003,296.49069,50.905861,11.425,0
