rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
4999,11671429,K03567.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.4430909739933013,0.49784904118618956,-0.07368425858841293,3.7276043687309928,2.33735493235272,0.0012435322998583655,-0.5081522411133723,-0.051712574066870264,1.2107151858822083,-0.3428650325216095,2.098875082720942,-0.930835300517671,0.1177831542288873,0.9084142268119162,1.6721467244835355,-2.3281922360363425,0
5002,5392897,K03342.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.135598207718549,2.8881485372616,-0.1257352590645022,1.7940830387425364,1.9377464733667868,-0.023227297371234863,-0.6784636136760968,-0.051926991538169015,2.2253403999183163,-0.3428650325216095,0.5236385223611835,0.4080005917579748,-0.12924850365262391,1.4597896449016736,-0.9034787474086868,1.069862228847049,0
5004,5282049,K01545.02,FALSE POSITIVE,FALSE POSITIVE,1,1,0,0,-0.4369747910004938,-0.4897813907331238,-0.05893183599358551,-0.2894088126304731,-0.31685443695720816,-0.035419190456121484,-0.24019568161468582,-0.05093529484592925,-0.3242496961473018,1.2219512980636034,0.06146188819435724,0.2956667583307366,-0.12299453763030717,0.3569481795203148,-0.9327077621281274,0.6589677768172166,0
5006,6023859,K03414.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.2627062687977293,-0.3593471726398654,0.04489181736246422,-0.55977500810921,0.4225698858246276,-0.02972074256970613,-0.9191703535647473,-0.05203909361859907,0.2591683723583124,-0.3428650325216095,-2.2642703311270616,0.9582071228301585,-0.19968791043029666,-1.6117288501384763,-0.6783815235481178,0.8821872542175064,0
5007,3433668,K03415.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.3617185827162542,-0.3226454750973968,0.04795364091988123,-0.11452696002502999,-0.32135908420697956,-0.035683222410125455,-0.3015077757372666,-0.05118059758428525,-0.35093231665382635,-0.3428650325216095,0.12518905461896648,-0.33707075240227363,-0.060125721300702074,-0.7575275461909149,-1.4453438798708138,-0.8054657373375508,1
5009,3629330,K03418.01,CONFIRMED,CANDIDATE,0,0,0,0,0.2185084665166032,0.26651498793972944,0.04934537890052533,1.0688689588370903,-0.3139978180034194,-0.035079720800973525,-0.790869119567495,-0.05199918426116705,-0.3377909832137822,-0.3428650325216095,0.23779433898089736,0.09163183639146974,-0.11361358859683207,-1.2672346079905477,-1.385780132493512,0.8352685105601202,1
5010,5471289,K03485.01,FALSE POSITIVE,FALSE POSITIVE,1,0,1,1,-0.3831604202050583,-0.3556976122894706,0.05157215966955589,3.3460805109779685,-0.3179203886812742,-0.03542499335620949,-0.39688214437239233,-0.051470321725260657,-0.2865969190299578,-0.3428650325216095,0.2749169601991163,0.41258564618357585,-0.12776730117365415,1.1524407295750378,-0.8659343448463099,0.49333039390553635,0
5012,9783760,K03487.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.2554061505369676,0.6152580502332667,0.06632458226438334,-0.37358901079471385,0.5673813202479209,-0.025168367450670647,-0.8817018516009479,-0.05203095922727534,-0.021141983541065026,-0.3428650325216095,0.05836833642617232,0.6853963845068661,-0.16463278509467916,0.9946363202602063,0.7717203235332997,0.03693897832914811,0
5013,9528430,K03489.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.25823699427200675,0.138777344074714,-0.19170363934703247,1.9906743627058965,0.15214841190460285,-0.021921644851435013,-0.5376728790242445,-0.0517609991152193,3.7219668700423068,-0.3428650325216095,0.9814841840525509,-1.0867271509881231,0.09803378784262388,0.10965481017905336,0.6521058128123525,-0.909255685428132,0
5014,5529552,K07732.01,FALSE POSITIVE,FALSE POSITIVE,1,0,0,1,-0.47951592599281595,-0.5041328140945424,-0.056983402820683766,-0.4367230825591962,-0.32179248712103625,-0.03601108626509742,0.6783503210736082,-0.038399752966547324,-0.34464733109554435,-0.3428650325216095,-0.30790819292692156,0.6074504592716407,-0.15344147747579656,-0.3487308315060264,-0.8452693655966638,0.7648903950740414,0
